State,District,Latitude,Longitude
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,12.5601347,92.8976254
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,7.1205395,93.7841503
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,11.8311681,92.6586401
ANDHRA PRADESH,VISAKHAPATANAM,17.6868159,83.2184815
ANDHRA PRADESH,SRIKAKULAM,18.2949165,83.8938018
ANDHRA PRADESH,ANANTAPUR,14.6818877,77.6005911
ANDHRA PRADESH,CHITTOOR,13.217176,79.1003289
ANDHRA PRADESH,PRAKASAM,15.348463,79.560344
ANDHRA PRADESH,WEST GODAVARI,16.9174181,81.3399414
ANDHRA PRADESH,KRISHNA,16.6099914,80.7214417
ANDHRA PRADESH,VIZIANAGARAM,18.1066576,83.3955506
ANDHRA PRADESH,EAST GODAVARI,17.32125,82.0407137
ANDHRA PRADESH,KURNOOL,15.8281257,78.0372792
ANDHRA PRADESH,SPSR NELLORE,14.2580848,79.9192702
ANDHRA PRADESH,GUNTUR,16.3066525,80.4365402
ANDHRA PRADESH,Y.S.R.,14.5767233,78.8382644
ARUNACHAL PRADESH,WEST KAMENG,27.3427633,92.302446
ARUNACHAL PRADESH,NAMSAI,27.6692115,95.8644018
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.0829633,95.8142885
ARUNACHAL PRADESH,PAPUM PARE,27.2240654,93.5003454
ARUNACHAL PRADESH,LEPARADA,27.8895239,94.7691586
ARUNACHAL PRADESH,PAKKE KESSANG,27.0471985,93.0175712
ARUNACHAL PRADESH,LONGDING,26.837169,95.3520876
ARUNACHAL PRADESH,EAST KAMENG,27.6141916,92.8577105
ARUNACHAL PRADESH,UPPER SUBANSIRI,28.3348801,93.9878427
ARUNACHAL PRADESH,SIANG,28.5006832,94.645035
ARUNACHAL PRADESH,UPPER SIANG,28.8612898,94.976654
ARUNACHAL PRADESH,KAMLE,27.7234323,94.1104449
ARUNACHAL PRADESH,SHI YOMI,28.6978712,94.315422
ARUNACHAL PRADESH,DIBANG VALLEY,28.7312796,95.8987139
ARUNACHAL PRADESH,EAST SIANG,28.0550482,95.3520876
ARUNACHAL PRADESH,TAWANG,27.5860574,91.8594062
ARUNACHAL PRADESH,TIRAP,27.0185604,95.5197394
ARUNACHAL PRADESH,WEST SIANG,28.1782689,94.5211935
ARUNACHAL PRADESH,LOWER SIANG,27.8015684,94.6037231
ARUNACHAL PRADESH,LOWER SUBANSIRI,27.5910076,93.8248241
ARUNACHAL PRADESH,KRA DAADI,28.0157633,93.7029002
ARUNACHAL PRADESH,KURUNG KUMEY,28.073758,93.2583626
ARUNACHAL PRADESH,ANJAW,28.0359962,96.8350999
ARUNACHAL PRADESH,CHANGLANG,27.1355348,95.7364417
ARUNACHAL PRADESH,LOHIT,28.0682343,96.1526985
ARUNACHAL PRADESH,KRA DAADI,28.0157633,93.7029002
ASSAM,HAILAKANDI,24.6811018,92.5638055
ASSAM,KARIMGANJ,24.8649128,92.3591531
ASSAM,KARBI ANGLONG,26.186085,93.5812692
ASSAM,BISWANATH,26.8517875,93.3388917
ASSAM,CACHAR,24.7821253,92.8577105
ASSAM,KOKRAJHAR,26.4014362,90.266699
ASSAM,DHEMAJI,27.4811106,94.5572847
